13314	12,
13315	13,
13316	14,
13320	15,
13321	16,
13322	17,
13326	18,
13346	13,
13347	14,
13348	15,
13352	16,
13353	17,
13354	18,
13358	19,
13378	14,
13379	15,
13380	16,
13384	17,
13385	18,
13386	19,
13390	20,
13410	15,
13411	16,
13412	17,
13416	18,
13417	19,
13418	20,
13422	21,
13442	16,
13443	17,
13444	18,
13474	17,
13475	18,
13476	19,
13506	18,
13538	19,
13824	12,
13825	13,
13826	14,
13830	15,
13831	16,
13832	17,
13836	18,
13837	19,
13838	20,
13856	13,
13857	14,
13858	15,
13862	16,
13863	17,
13864	18,
13868	19,
13869	20,
13870	21,
13888	14,
13889	15,
13890	16,
13894	17,
13895	18,
13896	19,
13900	20,
13920	15,
13921	16,
13922	17,
13926	18,
13927	19,
13928	20,
13932	21,
13952	16,
13953	17,
13954	18,
13958	19,
13984	17,
13985	18,
13986	19,
13990	20,
14016	18,
14017	19,
14018	20,
14022	21,
14048	19,
14049	20,
14050	21,
14054	22,
14340	15,
14341	16,
14342	17,
14346	18,
14372	16,
14373	17,
14374	18,
14378	19,
14404	17,
14405	18,
14406	19,
14436	18,
14437	19,
14438	20,
14852	17,
14856	18,
14884	18,
14888	19,
14916	19,
14948	20,
15878	19,
15910	20,
15942	21,
15974	22,
16386	3,
16387	4,
16388	5,
16392	6,
16393	7,
16394	8,
16398	9,
16404	13,
16408	14,
16409	15,
16410	16,
16414	17,
16418	4,
16419	5,
16420	6,
16424	7,
16425	8,
16426	9,
16430	10,
16436	14,
16440	15,
16441	16,
16442	17,
16446	18,
16450	5,
16451	6,
16452	7,
16456	8,
16457	9,
16458	10,
16462	11,
16468	15,
16472	16,
16473	17,
16474	18,
16478	19,
16482	6,
16483	7,
16484	8,
16488	9,
16489	10,
16490	11,
16494	12,
16500	16,
16504	17,
16505	18,
16506	19,
16510	20,
16514	7,
16515	8,
16516	9,
16520	10,
16521	11,
16522	12,
16526	13,
16532	17,
16536	18,
16546	8,
16547	9,
16548	10,
16552	11,
16553	12,
16554	13,
16558	14,
16564	18,
16568	19,
16578	9,
16579	10,
16580	11,
16584	12,
16585	13,
16586	14,
16590	15,
16596	19,
16610	10,
16611	11,
16612	12,
16616	13,
16617	14,
16618	15,
16622	16,
16628	20,
16642	11,
16643	12,
16644	13,
16648	14,
16649	15,
16650	16,
16654	17,
16674	12,
16675	13,
16676	14,
16680	15,
16681	16,
16682	17,
16686	18,
16706	13,
16707	14,
16708	15,
16712	16,
16713	17,
16714	18,
16718	19,
16738	14,
16739	15,
16740	16,
16744	17,
16745	18,
16746	19,
16750	20,
16770	15,
16771	16,
16772	17,
16776	18,
16802	16,
16803	17,
16804	18,
16808	19,
16834	17,
16835	18,
16836	19,
16866	18,
16867	19,
16868	20,
16896	3,
16897	4,
16898	5,
16902	6,
16903	7,
16904	8,
16908	9,
16909	10,
16910	11,
16914	12,
16920	16,
16924	17,
16925	18,
16926	19,
16928	4,
16929	5,
16930	6,
16934	7,
16935	8,
16936	9,
16940	10,
16941	11,
16942	12,
16946	13,
16952	17,
16956	18,
16957	19,
16958	20,
16960	5,
16961	6,
16962	7,
16966	8,
16967	9,
16968	10,
16972	11,
16973	12,
16974	13,
16978	14,
16984	18,
16988	19,
16989	20,
16990	21,
16992	6,
16993	7,
16994	8,
16998	9,
16999	10,
17000	11,
17004	12,
17005	13,
17006	14,
17010	15,
17016	19,
17020	20,
17021	21,
17022	22,
17024	7,
17025	8,
17026	9,
17030	10,
17031	11,
17032	12,
17036	13,
17037	14,
17038	15,
17042	16,
17056	8,
17057	9,
17058	10,
17062	11,
17063	12,
17064	13,
17068	14,
17069	15,
17070	16,
17074	17,
17088	9,
17089	10,
17090	11,
17094	12,
17095	13,
17096	14,
17100	15,
17101	16,
17102	17,
17106	18,
17120	10,
17121	11,
17122	12,
17126	13,
17127	14,
17128	15,
17132	16,
17133	17,
17134	18,
17138	19,
17152	11,
17153	12,
17154	13,
17158	14,
17159	15,
17160	16,
17164	17,
17165	18,
17166	19,
17184	12,
17185	13,
17186	14,
17190	15,
17191	16,
17192	17,
17196	18,
17197	19,
17198	20,
17216	13,
17217	14,
17218	15,
17222	16,
17223	17,
17224	18,
17228	19,
17229	20,
17230	21,
17248	14,
17249	15,
17250	16,
17254	17,
17255	18,
17256	19,
17260	20,
17261	21,
17262	22,
17280	15,
17281	16,
17282	17,
17286	18,
17312	16,
17313	17,
17314	18,
17318	19,
17344	17,
17345	18,
17346	19,
17350	20,
17376	18,
17377	19,
17378	20,
17382	21,
17412	6,
17413	7,
17414	8,
17418	9,
17419	10,
17420	11,
17424	12,
17425	13,
17426	14,
17430	15,
17436	19,
17444	7,
17445	8,
17446	9,
17450	10,
17451	11,
17452	12,
17456	13,
17457	14,
17458	15,
17462	16,
17468	20,
17476	8,
17477	9,
17478	10,
17482	11,
17483	12,
17484	13,
17488	14,
17489	15,
17490	16,
17494	17,
17508	9,
17509	10,
17510	11,
17514	12,
17515	13,
17516	14,
17520	15,
17521	16,
17522	17,
17526	18,
17540	10,
17541	11,
17542	12,
17546	13,
17547	14,
17548	15,
17552	16,
17553	17,
17554	18,
17558	19,
17572	11,
17573	12,
17574	13,
17578	14,
17579	15,
17580	16,
17584	17,
17585	18,
17586	19,
17590	20,
17604	12,
17605	13,
17606	14,
17610	15,
17611	16,
17612	17,
17616	18,
17617	19,
17618	20,
17622	21,
17636	13,
17637	14,
17638	15,
17642	16,
17643	17,
17644	18,
17648	19,
17649	20,
17650	21,
17654	22,
17668	14,
17669	15,
17670	16,
17674	17,
17675	18,
17676	19,
17700	15,
17701	16,
17702	17,
17706	18,
17707	19,
17708	20,
17732	16,
17733	17,
17734	18,
17738	19,
17764	17,
17765	18,
17766	19,
17770	20,
17796	18,
17797	19,
17798	20,
17828	19,
17829	20,
17830	21,
17860	20,
17892	21,
17924	8,
17928	9,
17929	10,
17930	11,
17934	12,
17935	13,
17936	14,
17940	15,
17941	16,
17942	17,
17946	18,
17956	9,
17960	10,
17961	11,
17962	12,
17966	13,
17967	14,
17968	15,
17972	16,
17973	17,
17974	18,
17978	19,
17988	10,
17992	11,
17993	12,
17994	13,
17998	14,
17999	15,
18000	16,
18004	17,
18005	18,
18006	19,
18010	20,
18020	11,
18024	12,
18025	13,
18026	14,
18030	15,
18031	16,
18032	17,
18036	18,
18037	19,
18038	20,
18042	21,
18052	12,
18056	13,
18057	14,
18058	15,
18062	16,
18063	17,
18064	18,
18068	19,
18069	20,
18070	21,
18084	13,
18088	14,
18089	15,
18090	16,
18094	17,
18095	18,
18096	19,
18100	20,
18101	21,
18102	22,
18116	14,
18120	15,
18121	16,
18122	17,
18126	18,
18127	19,
18128	20,
18132	21,
18148	15,
18152	16,
18153	17,
18154	18,
18158	19,
18159	20,
18160	21,
18164	22,
18180	16,
18184	17,
18185	18,
18186	19,
18190	20,
18212	17,
18216	18,
18217	19,
18218	20,
18222	21,
18244	18,
18248	19,
18249	20,
18250	21,
18254	22,
18276	19,
18280	20,
18281	21,
18282	22,
18286	23,
18308	20,
18340	21,
18440	11,
18444	12,
18445	13,
18446	14,
18450	15,
18451	16,
18452	17,
18456	18,
18472	12,
18476	13,
18477	14,
18478	15,
18482	16,
18483	17,
18484	18,
18488	19,
18504	13,
18508	14,
18509	15,
18510	16,
18514	17,
18515	18,
18516	19,
18536	14,
18540	15,
18541	16,
18542	17,
18546	18,
18547	19,
18548	20,
18568	15,
18572	16,
18573	17,
18574	18,
18578	19,
18600	16,
18604	17,
18605	18,
18606	19,
18610	20,
18632	17,
18636	18,
18637	19,
18638	20,
18664	18,
18668	19,
18669	20,
18670	21,
18722	16,
18754	17,
18786	18,
18818	19,
18850	20,
18950	10,
18956	14,
18960	15,
18961	16,
18962	17,
18966	18,
18982	11,
18988	15,
18992	16,
18993	17,
18994	18,
18998	19,
19014	12,
19020	16,
19024	17,
19025	18,
19026	19,
19030	20,
19046	13,
19052	17,
19056	18,
19057	19,
19058	20,
19062	21,
19078	14,
19084	18,
19088	19,
19110	15,
19116	19,
19120	20,
19142	16,
19148	20,
19174	17,
19180	21,
19206	18,
19232	16,
19233	17,
19234	18,
19238	19,
19264	17,
19265	18,
19266	19,
19270	20,
19296	18,
19297	19,
19298	20,
19302	21,
19328	19,
19360	20,
19460	10,
19461	11,
19462	12,
19466	13,
19472	17,
19476	18,
19477	19,
19478	20,
19492	11,
19493	12,
19494	13,
19498	14,
19504	18,
19508	19,
19509	20,
19510	21,
19524	12,
19525	13,
19526	14,
19530	15,
19536	19,
19540	20,
19556	13,
19557	14,
19558	15,
19562	16,
19568	20,
19572	21,
19588	14,
19589	15,
19590	16,
19594	17,
19620	15,
19621	16,
19622	17,
19626	18,
19652	16,
19653	17,
19654	18,
19658	19,
19684	17,
19685	18,
19686	19,
19690	20,
19716	18,
19717	19,
19718	20,
19748	19,
19749	20,
19750	21,
19780	20,
19812	21,
19970	10,
19971	11,
19972	12,
19976	13,
